substrat_code,Bez_ST,Kurz_NT,long,base_initial,Initial,x2,Reaktion,Genese,genesecode,ausgangssubstrat,chemie_gg_code,Festgestein,geomorphologie,metamorphie,Beschreibung,Boden
5,SpezUltrabas.Gesteine,SiX,UltrabasischeSilikatgesteine,B,B,B,5,Si,9,Si,2,1,silikatisches Festgestein,,"meistultrabasische(mafischeAnteile>50%,keinQuarz),silikatischeSpezialgest.(Serpentinit,Ultrabasit,(Ophiolit),Pikritu.a.)",meistbasenreicheRankeroderPararendzinen(verbraunt)bisbasenreicheBraunerden(ofttoxischeSonderstandorte)
11,SiS-Silikatesauer-arm,SiS-,Silikatgesteineqz.reich/sauer-rueckstandsarm,S,S-,S,4,Si,9,Si,1,1,silikatisches Festgestein,,"arme/harteblockige,ueberwiegendquarzhaltigeMagmatite(Aplit,Pegmatit,Granulit),sonst10","podsoligeBraunerden,(Semi-)Podsoleoder(Podsol-)Ranker"
10,SiSrSilikatesauer,SiSr,Silikatgesteineqz.reich/sauer,S,S,S,4,Si,9,Si,1,1,silikatisches Festgestein,,"quarzreicheMagmatite(Granite,Gneise,Quarzporphyr,Quarz-Glimmerschiefer,Aplit,Pegmatit)","podsoligeBraunerden,SemipodsoleundPodsoleoder(Podsol-)Ranker"
12,SiS+Silikatesauer-reich,SiS+,Silikatgesteinesauer-rueckstandsreich,S,S+,S,4,Si,9,Si,1,1,silikatisches Festgestein,1,"Qz.reicheundsiltreicheSchiefer;Quarzitschiefer,Qz.konglomeratschiefer-sonst10",meistPodsoleundStaupodsole
21,SiI-Silikateinterm.-arm,Sil-,Silikatgest.intermediaer-rueckstandsarm,I,I,I,3,Si,9,Si,1,1,silikatisches Festgestein,1,"rueckstandsarme/harte,langsamverwitterndeSerizit-/Chlorit-/Gruenschiefer,Hornblende-Diorit-/Augit-/Cordierit-/Syenit-/Granodioritgneis-sonst20","meistBraunerdenoderRanker->Anm:mitunterSiB-(Granodiorite,Tonalite)"
20,SiInSilikateinterm.,SiIn,Silikatgesteineintermediaer,I,I,I,3,Si,9,Si,1,1,silikatisches Festgestein,1,"intermediaereGneise,(Glimmer-)SchieferundPhyllite(Biotit-,Muskovit-,Chlorit-,Serizit-,Hornblende-/Diorit-/Augit-/Cordierit-/Syenit-/Granodiorit-),Gruenschiefer,Schwarzphyllit",meistbasenarmeBraunerdenbisSemipodsole
22,SiI+Silikateinterm.-reich,Sil+,Silikatgest.intermediaer-rueckstandsarm,I,I+,I,3,Si,9,Si,1,1,silikatisches Festgestein,1,"rueckstandsarme/harte,langsamverwitterndeSerizit-/Chlorit-/Gruenschiefer,Hornblende-Diorit-/Augit-/Cordierit-/Syenit-/Granodioritgneis-sonst20;Anm:mitunterSiB-(Granodiorite,Tonalite)",meistBraunerdenoderRanker
31,SiB-Silikatebasenr.-arm,SiB-,Silikatgest.basisch-rueckstandsarm,B,B-,B,5,Si,9,Si,2,1,silikatisches Festgestein,,"Ca-/Mg-Silikat-(Plagioklas)-reiche(Meta-)Granite,GranodioriteundTonalite(BrixnerGranit)-sonst30",BasenreicheRanker(collin)-basenreicheleichte(Para)BraunerdenbisSemipodsole(Verlustlagen)
30,SiBaSilikatebasenr.,SiBa,Silikatgesteinebasisch,B,B,B,5,Si,9,Si,2,1,silikatisches Festgestein,,"dunkleCa-undMg-reicheMagmatite(Amphibolit,Basalt,Gabbro,Basalttuff,Tephrit,Essexit,Diabas,Metadiabas,Melaphyr,Andesit?,Eklogit,inkl.Ultrabasit,Ophiolit)",basenreicheRankerundBraunerdenoderRohBoeden(SonderstandorteinFelslage)
32,SiB+Silikatebasenr.-reich,SiB+,Silikatgest.basisch-rueckstandsreich,B,B+,B,5,Si,9,Si,2,1,silikatisches Festgestein,,"rueckstandsreiche,bindigeultrabasische(mafischeAnteile>50%,keinQuarz),silikatischeSpezialgesteine(Talkschiefer)",meistbasenreicheRankeroderPararendzinen(verbraunt)bisBasenreicheBraunerden(oft+/-toxischeSonderstandorte)
41,SiK-Silikatekalkarm-arm,SiK-,Silikatgest.karbonatarm-rueckstandsarm,M,M-,M,2,Si,9,Si,3,1,gemischtes Sedimentgestein,1,"kalkarme(10-35%Karbonat),relativrueckstandsarme/harteSilikatgesteine(eventuellkarbonatfuehrendePrasinite)","Pararendzinen,(basenreiche/carbonathalt.)Braunerden,podsolierteBraunerden"
40,SiKaSilikatekalkarm,SiKa,Silikatgesteinekarbonatarm,M,M-,M,2,Si,9,Si,3,1,gemischtes Sedimentgestein,1,"kalkarme(10-35%Karbonat)Schiefer/Phyllite(Kalkphyllit,DunklerPhyllit,KalkarmeBuendnerschiefer),kalkfuehrenderPrasinit(inkl.karb.Tuffite)",Pararendzina-Kalkbraunerde-(podsolierte)(Para-)Braunerde-Semipodsole(subalpin)
42,SiK+Silikatekalkarm-reich,SiK+,Silikatgest.karbonatarm-rueckstandsreich,M,M+,M,2,Si,9,Si,3,1,gemischtes Sedimentgestein,1,"kalkarme(10-35%Karbonat),sehrrueckstandsreiche/weicheSchiefer/Phyllite(kalkarmerKalktonschiefer)",
46,CaS-Silikatekalkreich-arm,CaS-,Silikatgest.karbonatreich-rueckstandsarm,C,C-,C,1,Ca,8,Si,3,1,gemischtes Sedimentgestein,1,"kalkreiche(35-65%Karbonat),relativrueckstandsarme/harte(Silikat-)Marmore(Glimmermarmormitvereinzelten,duennenPhyllitlagen)",
45,CaSiSilikatekalkreich,CaSi,Silikatgesteinekarbonatreich,C,C-,C,1,Ca,8,Si,3,1,gemischtes Sedimentgestein,1,"kalkreiche(35-65%Karbonat)Kalk(glimmer)schiefer(KalkreicheBuendnerschiefer),Karbonatquarzit,Glimmermarmor,Kalksilikamarmor,Silikatmarmor",Pararendzina-(carbonathalt.Parabraunerde)-carbonathalt.Braunerde
47,CaS+Silikatekalkreich-reich,CaS+,,C,,C,1,Ca,8,Si,3,1,gemischtes Sedimentgestein,,,
70,ToTonig-feinklast.Sedimenteinterm.,To,,I,,I,3,Sed,21,To,1,1,gemischtes Sedimentgestein,,,
71,ToBaTonigeSed.basisch,ToBa,,B,,B,5,Sed,21,To,2,1,silikatisches Sedimentgestein,,,
72,ToSrTonigeSed.sauer,ToSr,,S,,S,4,Sed,21,To,1,1,silikatisches Sedimentgestein,,,
100,SulfGips,Sulf,Sulfate(Gips)undSalze,K,K,K,6,Ka,21,To,4,1,karbonatisches Festgestein,,"tonigeCalcium-Sulfate/ChlorideundSalze(Gips,Anhydrit,Gipsbrekzie,Haselgebirge)",tw.tonreicheRohBoeden(meistvegetationsfreieSonderstandorte)bzw.Rendzinen
51,KlS-Klast.Sed.sauer-arm,KlS-,Sedimentgesteineqz.reich/sauer-arm,S,S,S,4,Sed,21,Kl,1,1,silikatisches Sedimentgestein,,"identKlSr;rueckstandsarmeqz.reichesaureSedimentgesteine(Arkose-/Glaukonit-/Quarzsandstein,AlpinerVerrucanop.p.;Quarzit,Silikatkonglomerat","Ranker-podsoligeBraunerden,(Semi-)Podsole"
50,KlSiKlast.Sed.sauer,KlSi,Sedimentgesteinesilikatisch-intermediaer,I,I,I,3,Sed,21,Kl,1,1,silikatisches Sedimentgestein,,"identKlIn;Silikatisch-intermediaereSedimentgesteine(rueckstandsreicheGrauwacke,Hornstein,Kieselschiefer,Radiolarit,Silikatkonglomerat,AlpinerVerrucano,{Werfener/Groedner}Sandsteinp.p.);Boeden:","(Ranker)-basenarmebispodsoligeBraunerden,Semipodsole"
52,KlS+Klast.Sed.sauer-reich,KlS+,Sedimentgesteinesilikat.-rueckstandsreich,S,S+,S,4,Sed,21,Kl,1,1,silikatisches Sedimentgestein,1,"rueckstands-/tonreichesaureSedimentgesteine(Kieselschiefer,(Bunt-)Sandstein,siltigerQuarzitschiefer)",meistpseudovergleyte(Semi-)PodsolebisStaupodsole
53,KlToKlast.Sedimentevariabel-tonreich,KlTo,Sedimentgesteinevariabel-tonreich,I,I+,I,3,Sed,21,Kl,1,1,silikatisches Sedimentgestein,,identKlI+;rueckstands-/tonreicheintermediaere(karbonatfreie)Sedimentgesteine(Flysch-/Reiselsberger/Lunzer/Werfener/GroednerSandsteinep.p.),meistschluffig-bindige(Para-)BraunerdenmitVersauerungstendenzverzahntm.silikat.Braunlehmen
56,KlB-Klast.Sedimentebasenreich-arm,KlB-,,B,,B,5,Sed,21,Kl,2,1,silikatisches Sedimentgestein,,,
55,KlBaKlast.Sedimentebasenreich,KlBa,Sedimentgesteinebasisch,B,B,B,5,Sed,21,Kl,2,1,silikatisches Sedimentgestein,,"vulkanoklastischeSedimenteausbasischenLavenundTuffen(Hyaloklastite,basischeSandsteine)",
57,KlB+Klast.Sedimentebasenreich-reich,KlB+,Sedimentgesteinebasisch-rueckstandsreich,B,B+,B,5,Sed,21,Kl,2,1,silikatisches Sedimentgestein,,rueckstandsreiche(siltig-tonige)aberkarbonatarmevulkanoklastischeSedimenteausbasischenLavenundTuffen(basischeSand-undTonsteine),l
61,KlK-Klast.Sedimentekarb.-arm,KlK-,Sedimentgesteinesilkatisch-karbonatreich-rueckstandsarm,C,C-,C,1,Sed,21,Kl,3,1,gemischtes Sedimentgestein,,"rueckstands-/tonarmekarbonatischeSed.(Hornstein/Kiesel-/Radiolarienkalk,Nagelfluh,Kalktuff,Rauhwacke)",meistarme(Moder-)PararendzinenmitgeringemTongehalt
60,KlKaKlast.Sedimentekarbonatisch,KlKa,Sedimentgesteinesilkatisch-karbonatreich,C,C-,C,1,Sed,21,Kl,3,1,gemischtes Sedimentgestein,,"karbonatisch-silikatischeSedimente(Kalksandstein,Kiesel-/Hornsteinkalk,Kalkkonglomerateund-brekzien(35-65%Karbonat)","meist(Para-)Rendzinenbiscarbonathaltige(Para-)Braunerden,schluffig-lehmigeBodenart"
62,KlK+Klast.Sedimentekarb.-reich,KlK+,Sedimentgesteinesilkatisch-karbonatreich-rueckstandsreich,C,C+,C,1,Sed,21,Kl,3,1,gemischtes Sedimentgestein,,"rueckstandsreiche(siltig-mergelige)karbonat.Sed.(35-65%Karbonat),inkl.(Ton-)Mergel,Kalksandsteine/Konglom./BrekzienausweichenKarb.)","meist(Mull-)Pararendzinenbistonige(basenreiche)Braunerden,+/-identmitToBa,siltig-mergelig"
64,KlK-Klast.Sedimentekarbonatreich-arm,KlM-,Sedimentgesteinesilik.-karb.arm-rueckstandsarm,M,M-,M,2,Sed,21,Kl,3,1,gemischtes Sedimentgestein,,"kalkarme(10-20(35)%Karbonat)rueckstands-/tonarmeSedimente(Hornstein/Radiolarit,Nagelfluh,Kalktuff,Rauhwacke)",meistarme(Moder-)RendzinenmitgeringemTongehalt
63,KlKaKlast.Sedimentekarbonatreich,KlMi,Sedimentgesteinesilik.-karb.arm,M,M,M,2,Sed,21,Kl,3,1,gemischtes Sedimentgestein,,"kalkarme(10-20(35)%Karbonat)Sedimente(kalkh.Sandstein,kalkh.Konglomerateund-brekzien)","meist(Para-)Rendzinenbiscarbonathaltige(Para-)Braunerden,schluffig-lehmigeBodenart"
65,KlK+Klast.Sedimentekarbonatreich-reich,KlM+,Sedimentgesteinesilik.-karb.arm-rueckstandsreich,M,M+,M,2,Sed,21,Kl,3,1,gemischtes Sedimentgestein,,"kalkarme(10-20(35)%Karbonat),rueckstandsreicheSiltiteundPelite","meist(Mull-)Pararendzinenbisbindige(basenreiche)Braunerden(Pelosole,FarbsubstratBoeden)"
81,Ka-Kalkearm,Ka-,Kalke/Karbonate-rueckstandsarm,K,K-,K,6,Ka,10,KaDo,4,1,karbonatisches Festgestein,,"rueckstandsarmeHartkalke,Konglom./BrekzienaushartenKarbonaten,wenigLoesungsrueckstaende(Karbonat>95%)(z.B.Wetterstein-/Dachsteinkalk)",meist(ton)arme(Moder-/Tangel-)Rendzinen
80,KaKalkeallgemein,Ka,Kalke/Karbonateallgemein,K,K,K,6,Ka,10,KaDo,4,1,karbonatisches Festgestein,,maessigrueckstandsreichemergeligeKalke/Marmore/Konglom./Brekzien(85-95%Karbonat),alleUebergaengevonRendzinenzuBraunlehm-Rendzina
82,Ka+Kalkereich,Ka+,Kalke/Karbonate-rueckstandsreich,K,K+,K,6,Ka,10,KaDo,4,1,karbonatisches Festgestein,,"weich/rundverwitterndeMergelkalke,Kalkmergel,Konglom./BrekzienausreichenKarbonaten,relativvielLoesungsrueckstaende,aber65-85%Karbonat",(ton)reiche(Mull)RendzinenbisKalkbraunlehme
85,Riffkalkesehrarm,KaRi,Riffkalke(sehrrueckstandsarm),K,K-,K,6,Ka,10,KaDo,4,1,karbonatisches Festgestein,,massigeblockigverwitt.organogeneRiffkalkemit>98%Karbonat,"meistsehrarme,initiale(Moder-/Tangel-)Rendzinen"
91,Dolomitesehrarm,Do-,Dolomite-sehrrueckstandsarm,D,D-,K,6,Ka,10,KaDo,4,1,karbonatisches Festgestein,,"massigeblockig-verwitt.DolomiteausRiffbildungen,fastkeineLoesungsrueckstaende(z.B.Wetterstein-/Dachstein-/Wengener/Cassianer/Ob.Schlerndolomit)","meistsehrarme,initiale(Moder-/Tangel-)Rendzinen,inhoeherenLagenoftRohBoeden(Rohhumus)"
90,Dolomiteallgemein,Do,Dolomiteallgemein,D,D-,K,6,Ka,10,KaDo,4,1,karbonatisches Festgestein,,geschichtetelagunaer-subtidalentstandeneDolomite,"sehrrueckstandsarme(Moder)Dolomit-RendzinenoderKarbonatischeRohBoedenmitgeringemTongehalt(typ.Hauptdolomit,Unt.Schlerndolomit)"
92,Dolomiterel.reich,Do+,Dolomite-rel.rueckstandsreich,K,K,K,6,Ka,10,KaDo,4,1,karbonatisches Festgestein,,"DolomitemitTon/Mergellagen,etwasLoesungsrueckstaende(Poetschen-/Pedata-/Reiflinger/GutensteinerDolomit)",meistBraunlehm-Rendzinenbzw.VerzahnungvonRendzinenmitBraunlehmen
210,VaMiVariableSchichtensilikatisch-karbonatisch,VaMi,,,,C,1,Ca,8,Kl,3,1,gemischtes Sedimentgestein,,,
212,VaKaVariableSchichten-uew.karbonat.,VaKa,,,,K,6,Ka,10,Kl,4,1,gemischtes Sedimentgestein,,,
213,VaToVariableSchichten-uew.tonig,VaTo,,,,S,,SaTo,17,Kl,1,1,gemischtes Sedimentgestein,,,
211,VaSiVariableSchichten-uew.silikat.,VaSi,,,,S,4,Si,9,Kl,1,1,gemischtes Sedimentgestein,,,
121,MoS-Moraenesauer-arm,MoS-,,,,S,4,Mo,1,Mo,1,,Moraene undifferenziert,,,
120,MoSiMoraenesauer,MoSi,Moraenensilikatisch-sauer,S,S,S,4,Mo,1,Mo,1,,Moraene undifferenziert,,"Moraenenausrueckstands-/basenarmen,quarzreichenSilikatgesteinen(uew.harte/armeGraniteundGneiseimEinzugsgebiet)","Regosole,podsolierteBraunerdenbisPodsole,Bodenartsandig-schluffig"
122,MoS+Moraenesauer-reich,MoS+,Moraenensauer-reich,S,S+,S,4,Mo,1,Mo,1,,Moraene undifferenziert,,EntsprichtMoT-(MoI+versauert),
126,MoI-Moraeneinterm.-arm,MoI-,,I,,I,3,Mo,1,Mo,1,,Moraene undifferenziert,,,
125,MoInMoraeneinterm.,MoIn,Moraenensilikatisch-intermed.,I,I,I,3,Mo,1,Mo,1,,Moraene undifferenziert,,Moraenenausbasenarmen/intermediaeremSilikatmaterialmitmittleremFeinbodenanteil,
127,MoI+Moraeneinterm.-reich,MoI+,,I,,I,3,Mo,1,Mo,1,,Moraene undifferenziert,,,
116,MoB-Moraenebasenr.-arm,MoB-,Moraenenbasisch-feinmaterialarm,B,B-,B,5,Mo,1,Mo,2,,Moraene undifferenziert,,"Moraenenausuew.basenreichen,karbonatfreienSilikatgesteinenmitleichterBodenart(S-sU-U)u/ogeringemFeinbodenanteil",
115,MoBaMoraenebasenr.,MoBa,Moraenenbasisch-kalkfrei,B,B,B,5,Mo,1,Mo,2,,Moraene undifferenziert,,"Moraenenausuew.basenreichen,karbonatfreienSilikatgesteinenmitmittleremFeinbodenanteil(z.B.Amphibolit-Prasinit-MoraenenimTauernfenster)",
117,MoB+Moraenebasenr.-reich,MoB+,Moraenenbasisch-feinmaterialreich,B,B+,B,5,Mo,1,Mo,2,,Moraene undifferenziert,,"Moraenenausuew.basenreiche,karbonatarmenSilikatgesteinen(KlB+)mitschwererBodenartu/ohohemFeinbodenanteil",
111,MoM-Moraenesil.-karb.arm-arm,MoM-,Moraenensilik.-karb.arm-feinmaterialarm,M,M-,M,2,Mo,1,Mo,3,,Moraene undifferenziert,,"Moraenenausbasenreichem,karbonatfuehrendemodersilikat.-karbonat.MischmaterialmitleichterBodenartu/ogeringemFeinbodenanteil(Karbonatgehalt10-35%),z.B.ausDolomitenundGraniten",
110,MoMiMoraenesil.-karb.arm,MoMi,Moraenensilikatisch-karbonatarm,M,M,M,2,Mo,1,Mo,3,,Moraene undifferenziert,,"Moraenenausbasenreichem,karbonatfuehrendemodersilikat.-karbonat.MischmaterialmitmittlererBodenart(lU-sL)u/omittleremFeinbodenanteil(Karbonatgehalt10-35%),z.B.ausKalkphyllitenoderausSilikat-unduntergeordnetKarbonatgesteinen",
112,MoM+Moraenesil.-karb.arm-reich,MoM+,,M,,M,2,Mo,1,Mo,3,,Moraene undifferenziert,,,
106,MoC-Moraenesil.-karb.reich-arm,MoC-,Moraenensilik.-karb.reich-feinmaterialarm,C,C-,C,1,Mo,1,Mo,3,,Moraene undifferenziert,,"Moraenenausbasenreichem,karbonatfuehrendemodersilikat.-karbonat.MischmaterialmitleichterBodenartu/ogeringemFeinbodenanteil(Karbonatgehalt35-65%),rueckstandsarm(z.B.ausvielDolomitmitSilikatgesteinen)",
105,MoCaMoraenesil.-karb.reich,MoCa,Moraenensilikatisch-karbonatreich,C,C,C,1,Mo,1,Mo,3,,Moraene undifferenziert,,"Moraenenausbasenreichem,karbonatfuehrendemodersilikat.-karbonat.MischmaterialmitmittlererBodenartu/omittleremFeinbodenanteil(lU-sL)(Karbonatgehalt35-65%)(z.B.ausKalkenundSilikatgesteinenzugleichenTeilen)",
107,MoC+Moraenesil.-karb.reich-reich,MoC+,Moraenensilik.-karb.reich-feinmaterialreich,C,C+,C,1,Mo,1,Mo,3,,Moraene undifferenziert,,"Moraenenausbasenreichem,karbonatfuehrendemodersilikat.-karbonat.MischmaterialmitschwererBodenart(uL-L-T)u/ohohemFeinbodenanteil(KarbonatgehaltimAusgangsgestein35-65%)-(z.B.ausSiltite/PelitenundvielKalk(mergel))",
131,MoK-Moraenekarb.-arm,MoK-,Moraenenkarbonat.-feinmaterialarm,K,K-,K,6,Mo,1,Mo,4,,Moraene undifferenziert,,BlockMoraenenausDolomitenundHartkalken(=BlK-),
